# model, time(s), FPS, FLOPs, Params, power, energy, FLOPs, params,mAP50-95,mAP50,AR50-95, epoch
mv-gdf-S2-erk-0.35,0.01692835593223570,59.072481935221800,1975356886.0,3396502.0,52487.50253696550,1785712.7711547600,1.975,3.397,43.4,77.9,48.0,e70
mv-cdf-S2-erk-0.48,0.01691256618499760,59.12763261716360,1993131540.0,2540056.0,52748.80180596930,1795827.855533120,1.993,2.540,41.4,74.5,45.2,e60
pf-gdf-S2-erk-0.52,0.016543457984924300,60.44685463651420,1826789164.0,4528777.0,48316.47056354030,1618493.1921739600,1.782,4.444,34.5,65.8,39.0,e80
pf-cdf-S2-erk-0.62,0.016669348716735800,59.99034617327380,1770013516.0,3650579.0,48345.21648800980,1672513.9348653600,2.068,5.136,35.2,65.0,39.9,e70
pf-gdf-S2-erk-0.45,0.017716277837753300,56.44526514869870,2068463196.0,5136062.0,47875.337803933800,1595660.555771950,1.770,3.651,33.0,63.2,37.2,e80
pf-cdf-S2-erk-0.55,0.01725141167640690,57.96627074685180,2088408352.0,4255547.0,48745.853735816900,1735507.3317462200,2.088,4.256,34.8,65.6,39.3,e80
ef-gdf-S2-erk-0.36,0.01871572494506840,53.43100536768160,2117641252.0,6973079.0,50739.78594524270,1916059.4150670800,2.118,6.973,39.0,74.6,44.1,e80
ef-cdf-S2-erk-0.50,0.019376319646835300,51.60938806887030,1966818988.0,4936462.0,47289.25860876970,1870842.3736596100,1.967,4.936,36.7,67.4,41.0,e70
mv-gdf-S2-mmu-0.35,0.017235623598098800,58.01936868186820,1969438392.0,3406953.0,52831.9081652857,1794580.913853410,1.969,3.407,43.0,78.1,46.9,e70
ef-gdf-S2-mmu-0.36,0.019130781650543200,52.27177949478110,2124440574.0,6985240.0,50750.18583089200,1946462.1898880000,2.124,6.985,39.3,72.7,43.8,e70
pf-gdf-S2-mmu-0.55,0.01757944321632390,56.884623005091800,1994001544.0,5126282.0,47035.711006911200,1606760.2794258600,1.975,5.066,34.2,66.4,39.0,e70